Sl No.,Zone Name,Assembly,Ward No,Ward Name,Park Name,,Area in,Remarks,
,,Constituency,,,,,(Sq.ft),,
114,Mahadevapura,K.R.Pura,26,Ramamurthynagar,Ramamurthy Nagara Kalkere park,,,20358,
,,,,,,,,,
115,Mahadevapura,K.R.Pura,25,Horamavu,Horamavu ward office park,14354,,,
116,Mahadevapura,K.R.Pura,52,K.R.Puram,K r puram kacheri awarana park,5540,,,
117,Mahadevapura,K.R.Pura,52,K.R.Puram,K r puram ganesha temple park,3760,,,
118,Mahadevapura,K.R.Pura,55,Devasandra,K r puram hanging bridge median,8000,,,
,,,,,pots,,,,
119,Mahadevapura,Mahadevapura,85,Doddanekkundi,Aecs layout D block,8650,,,
120,Mahadevapura,Mahadevapura,85,Doddanekkundi,BEML layout park and srinivasa,47000,,,
,,,,,temple park,,,,
121,Mahadevapura,Mahadevapura,84,Hagadooru,Whitefield inner circle park,114870,,,
122,Mahadevapura,Mahadevapura,150,Bellandur,Aralur gate amalipura park,14060,,,
123,Mahadevapura,K.R.Pura,55,Devasandra,Mini Vidhana soudha park,2207,,,
124,Mahadevapura,K.R.Pura,51,Vijinapura,East of NGEF park.,13170,,,
125,Mahadevapura,Mahadevapura,83,Kadugodi,Kadugodi near government hospital,4825,,,
,,,,,park,,,,
126,Mahadevapura,K.R.Pura,51,Vijinapura,Kasthuri nagar stp park,5520,,,
127,Mahadevapura,K.R.Pura,51,Vijinapura,Kasthuri nagar gas gowdown park,9480,,,
128,Mahadevapura,K.R.Pura,52,K.R.Puram,Bhattarahalli lake park,34450,,,
129,Mahadevapura,K.R.Pura,52,K.R.Puram,Vengayyana kere t c palya park,5670,,,
130,Mahadevapura,Mahadevapura,85,Doddanekkundi,AECS layout B block park,30000,,,
131,Mahadevapura,Mahadevapura,85,Doddanekkundi,A E CS Layout E block,48310,,,
132,Mahadevapura,Mahadevapura,85,Doddanekkundi,Karthick nagar south avenue park,38080,,,
133,Mahadevapura,Mahadevapura,85,Doddanekkundi,Karthik nagar OHT park,33800,,,
134,Mahadevapura,Mahadevapura,85,Doddanekkundi,Karthik nagar childrens park,7100,,,
135,Mahadevapura,K.R.Pura,52,K.R.Puram,Bhatarahalli park near GCC college.,19950,,,
136,Mahadevapura,K.R.Pura,81,Vignananagar,M VG Water tank park,13590,,,
137,Mahadevapura,K.R.Pura,51,Vijinapura,ITI layout park,9760,,,
138,Mahadevapura,K.R.Pura,81,Vignananagar,M V G LAYOUT PARK,10130,,,
139,Dasarahalli,Dasarahalli,12,Shettyhalli,Abbigere Hospital park,107584,Park maintained,,
,,,,,,,statisfactorly,,
140,Dasarahalli,Dasarahalli,13,Mallasandra,"Airforce park, Mallasandra",41464,Park maintained in,,
,,,,,,,Good condition,,
141,Dasarahalli,Dasarahalli,13,Mallasandra,PiPeline Park Mallsandra,53792,,,
142,Dasarahalli,Dasarahalli,13,Mallasandra,Airforce Road park,41624,Park maintained in,,
,,,,,,,Good codition,,
143,Dasarahalli,Dasarahalli,12,Shettyhalli,Vishweshwaraiah Enclave park,45250,Park maintained in,,
,,,,,,,Good condition.,,
144,Dasarahalli,Dasarahalli,12,Shettyhalli,Aladamara park,37977,Park averagely,,
,,,,,,,maintained.,,
145,Dasarahalli,Dasarahalli,39,Chokkasandra,"Gruhalakshmi Layout, part-2",53770,Park maintained in,,
,,,,,,,Good condition.,,
146,Dasarahalli,Dasarahalli,41,Peenya Industrial,Gruhalakshmi park-1,60709,Park maintained in,,
,,,,Area,,,Good condition.,,
147,Dasarahalli,Dasarahalli,14,Bagalagunte,"Ramaiah Layout, Park part -2",8025,Park Maintained in,,
,,,,,,,Good Condition.,,
148,Dasarahalli,Dasarahalli,14,Bagalagunte,BBMP Offices Park,4303,Park maintaind in,,
,,,,,,,Good Condiction.,,
149,Dasarahalli,Dasarahalli,14,Bagalagunte,"Ravi Kirloskar Layout park, part-3",13308,Park Maintained in,,
,,,,,,,Good condition.,,
150,Dasarahalli,Dasarahalli,14,Bagalagunte,"MEI Layout park, part-3",61904,Park Maintained in,,
,,,,,,,Good condition.,,
151,Dasarahalli,Dasarahalli,14,Bagalagunte,"Ravi Kirlosker Layout park, part-2",15287,Park Maintained in,,
,,,,,,,Good condition.,,
152,Dasarahalli,Dasarahalli,14,Bagalagunte,"MEI Layout park, part-2",37514,Park Maintained in,,
,,,,,,,Good Condition.,,
153,Dasarahalli,Dasarahalli,14,Bagalagunte,"MEI Layout Park, part-3",36245,Park Maintained in,,
,,,,,,,Good condition.,,
154,Dasarahalli,Dasarahalli,14,Bagalagunte,Nelamaheshwaramma Temple Park,37654,Park Maintained in,,
,,,,,,,Good Condition.,,
155,Dasarahalli,Dasarahalli,14,Bagalagunte,Ravi Kirloskar park Part-1,14459,Park Maintained in,,
,,,,,,,Good condition,,
156,Dasarahalli,Dasarahalli,14,Bagalagunte,"Ramaiah Layout park, Part 1",11490,Park Maintainde in,,
,,,,,,,Good Condition,,
157,Dasarahalli,Dasarahalli,39,Chokkasandra,"KRS Gowda park, HMT Layout part-1",56422,Park Maintained in,,
,,,,,,,Good condition,,
158,Dasarahalli,Dasarahalli,39,Chokkasandra,"KRS Gowda park, HMT Layout part-2",56422,Park Maintained in,,
,,,,,,,Good condition.,,
159,Dasarahalli,Dasarahalli,12,Shettyhalli,(1) Anjeniya swamy Temple part (2),96825,Park maintained in,,
